ticker,trading_day,sentiment_score_title,prob_pos_title,prob_neu_title,prob_neg_title,dir_positive_title,dir_neutral_title,dir_negative_title,confidence_title,strength_title,article_count
5819.KL,1/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/1/2021,-0.537605,0.179893,0.102608,0.717498,0.0,0.0,1.0,0.537605,0.717498,1
5819.KL,1/1/2022,0.883637,0.8953,0.093038,0.011663,1.0,0.0,0.0,0.883637,0.8953,1
5819.KL,1/1/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/1/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/1/2025,0.889967,0.918808,0.05235,0.028842,1.0,0.0,0.0,0.889967,0.918808,1
5819.KL,1/1/2026,-0.648216,0.160622,0.030539,0.808839,0.0,0.0,1.0,0.648216,0.808839,1
5819.KL,1/10/2020,0.169747,0.504062,0.161622,0.334316,1.0,0.0,0.0,0.169747,0.504062,1
5819.KL,1/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/10/2022,-0.955194,0.010518,0.02377,0.965712,0.0,0.0,1.0,0.955194,0.965712,1
5819.KL,1/10/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/10/2024,0.369104,0.411844,0.545415,0.042741,0.5,0.5,0.0,0.369104,0.821407,2
5819.KL,1/10/2025,0.831128,0.891665,0.047798,0.060537,1.0,0.0,0.0,0.831128,0.891665,2
5819.KL,1/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/11/2021,-0.952721,0.018123,0.011034,0.970844,0.0,0.0,1.0,0.952721,0.970844,2
5819.KL,1/11/2022,0.899711,0.936015,0.02768,0.036304,1.0,0.0,0.0,0.899711,0.936015,1
5819.KL,1/11/2023,-0.910688,0.038898,0.011517,0.949585,0.0,0.0,1.0,0.910688,0.949585,1
5819.KL,1/11/2024,-0.951412,0.012546,0.023495,0.963959,0.0,0.0,1.0,0.951412,0.963959,1
5819.KL,1/11/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/12/2020,0.100498,0.52454,0.051417,0.424043,0.5,0.0,0.5,0.553485,0.751034,2
5819.KL,1/12/2021,-0.866725,0.035995,0.061284,0.902721,0.0,0.0,1.0,0.866725,0.902721,2
5819.KL,1/12/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/12/2023,0.482093,0.495981,0.490131,0.013888,0.5,0.5,0.0,0.482093,0.939806,2
5819.KL,1/12/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/12/2025,0.423571,0.693699,0.036173,0.270128,0.75,0.0,0.25,0.905327,0.934577,4
5819.KL,1/2/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/2/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/3/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/3/2021,0.020169,0.035205,0.94976,0.015036,0.0,1.0,0.0,0.020169,0.94976,1
5819.KL,1/3/2022,0.271069,0.493,0.28507,0.221931,0.5,0.25,0.25,0.668636,0.905081,4
5819.KL,1/3/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/3/2024,-0.011881,0.482232,0.023656,0.494113,0.5,0.0,0.5,0.946569,0.961457,2
5819.KL,1/3/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/3/2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/4/2020,-0.959743,0.013288,0.01368,0.973031,0.0,0.0,1.0,0.959743,0.973031,1
5819.KL,1/4/2021,-0.946215,0.016185,0.021415,0.9624,0.0,0.0,1.0,0.946215,0.9624,1
5819.KL,1/4/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/4/2023,-0.955688,0.010657,0.022997,0.966346,0.0,0.0,1.0,0.955688,0.966346,1
5819.KL,1/4/2024,-0.742462,0.020239,0.21706,0.762701,0.0,0.0,1.0,0.742462,0.762701,1
5819.KL,1/4/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/5/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/5/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/5/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/5/2023,-0.803931,0.081524,0.033022,0.885454,0.0,0.0,1.0,0.803931,0.885454,1
5819.KL,1/5/2024,0.937232,0.95525,0.026732,0.018018,1.0,0.0,0.0,0.937232,0.95525,1
5819.KL,1/5/2025,0.485572,0.503196,0.47918,0.017624,1.0,0.0,0.0,0.485572,0.503196,1
5819.KL,1/6/2020,0.030875,0.044483,0.94191,0.013607,0.0,1.0,0.0,0.030875,0.94191,1
5819.KL,1/6/2021,-0.265512,0.13244,0.469609,0.397952,0.0,0.5,0.5,0.356036,0.838645,2
5819.KL,1/6/2022,0.926318,0.94781,0.030698,0.021492,1.0,0.0,0.0,0.926318,0.94781,1
5819.KL,1/6/2023,-0.460388,0.029065,0.481481,0.489454,0.0,0.5,0.5,0.491553,0.953432,2
5819.KL,1/6/2024,0.107318,0.123275,0.860767,0.015957,1.0,0.0,0.0,0.107318,0.860767,1
5819.KL,1/6/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/7/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/7/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/7/2022,-0.233488,0.341295,0.083923,0.574782,0.5,0.0,0.5,0.725603,0.82084,2
5819.KL,1/7/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/7/2024,0.734987,0.823847,0.087293,0.08886,1.0,0.0,0.0,0.734987,0.823847,1
5819.KL,1/7/2025,0.771264,0.854368,0.062529,0.083103,1.0,0.0,0.0,0.771264,0.854368,1
5819.KL,1/8/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/8/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/8/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/8/2023,0.504781,0.676665,0.151452,0.171884,1.0,0.0,0.0,0.504781,0.676665,2
5819.KL,1/8/2024,-0.3301,0.167033,0.335834,0.497133,0.5,0.0,0.5,0.632696,0.81247,2
5819.KL,1/8/2025,-0.944865,0.01357,0.027995,0.958435,0.0,0.0,1.0,0.944865,0.958435,1
5819.KL,1/9/2020,0.048723,0.061337,0.92605,0.012613,0.0,1.0,0.0,0.048723,0.92605,1
5819.KL,1/9/2021,-0.568913,0.116664,0.197758,0.685578,0.0,0.0,1.0,0.568913,0.685578,1
5819.KL,1/9/2022,0.129849,0.139532,0.850784,0.009683,1.0,0.0,0.0,0.129849,0.850784,1
5819.KL,1/9/2023,0.053601,0.065263,0.923075,0.011662,0.0,1.0,0.0,0.053601,0.923075,1
5819.KL,1/9/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,1/9/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5819.KL,10/1/2020,-0.947323,0.016464,0.019749,0.963787,0.0,0.0,1.0,0.947323,0.963787,1
