ticker,trading_day,sentiment_score_title,prob_pos_title,prob_neu_title,prob_neg_title,dir_positive_title,dir_neutral_title,dir_negative_title,confidence_title,strength_title,article_count
1155.KL,1/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/1/2021,-0.286524,0.233246,0.246985,0.51977,0.0,0.5,0.5,0.286524,0.55443,2
1155.KL,1/1/2022,0.846712,0.908061,0.03059,0.061349,1.0,0.0,0.0,0.846712,0.908061,1
1155.KL,1/1/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/1/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/1/2025,0.889967,0.918808,0.05235,0.028842,1.0,0.0,0.0,0.889967,0.918808,1
1155.KL,1/1/2026,-0.648216,0.160622,0.030539,0.808839,0.0,0.0,1.0,0.648216,0.808839,1
1155.KL,1/10/2020,0.09332,0.225245,0.64283,0.131925,0.333333,0.666667,0.0,0.09332,0.756976,3
1155.KL,1/10/2021,0.17432,0.203372,0.767576,0.029052,1.0,0.0,0.0,0.17432,0.767576,1
1155.KL,1/10/2022,-0.423308,0.033165,0.510362,0.456473,0.0,0.333333,0.666667,0.455976,0.824342,3
1155.KL,1/10/2023,0.139967,0.196372,0.747223,0.056405,1.0,0.0,0.0,0.139967,0.747223,1
1155.KL,1/10/2024,-0.010535,0.48017,0.029126,0.490704,0.5,0.0,0.5,0.944426,0.95765,2
1155.KL,1/10/2025,-0.018137,0.357424,0.267014,0.375561,0.333333,0.333333,0.333333,0.501547,0.688975,3
1155.KL,1/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/11/2021,-0.946613,0.017023,0.019341,0.963636,0.0,0.0,1.0,0.946613,0.963636,3
1155.KL,1/11/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/11/2023,0.253919,0.273583,0.706753,0.019664,0.5,0.5,0.0,0.260769,0.896535,4
1155.KL,1/11/2024,-0.951412,0.012546,0.023495,0.963959,0.0,0.0,1.0,0.951412,0.963959,1
1155.KL,1/11/2025,0.176564,0.349983,0.476597,0.173419,0.4,0.2,0.4,0.347774,0.674715,5
1155.KL,1/12/2020,0.091251,0.378237,0.334776,0.286987,0.333333,0.333333,0.333333,0.393242,0.801187,3
1155.KL,1/12/2021,-0.239578,0.26423,0.231962,0.503808,0.25,0.0,0.75,0.701993,0.884923,4
1155.KL,1/12/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/12/2023,0.262715,0.4615,0.339714,0.198786,0.5,0.166667,0.333333,0.58726,0.85097,6
1155.KL,1/12/2024,0.561834,0.59612,0.369595,0.034286,1.0,0.0,0.0,0.561834,0.748294,2
1155.KL,1/12/2025,0.795111,0.869049,0.057012,0.073939,1.0,0.0,0.0,0.795111,0.869049,1
1155.KL,1/2/2020,-0.916362,0.031615,0.020408,0.947977,0.0,0.0,1.0,0.916362,0.947977,2
1155.KL,1/2/2021,0.910302,0.933287,0.043728,0.022985,1.0,0.0,0.0,0.910302,0.933287,1
1155.KL,1/2/2022,0.22759,0.234716,0.758158,0.007126,1.0,0.0,0.0,0.22759,0.758158,1
1155.KL,1/2/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1155.KL,1/2/2024,0.018356,0.038498,0.941359,0.020142,0.0,1.0,0.0,0.018356,0.941359,1
1155.KL,1/2/2025,0.916247,0.944452,0.027343,0.028205,1.0,0.0,0.0,0.916247,0.944452,1
