ticker,company,window,model,MAE,RMSE,R2,MAPE,DA,Naive_MAE,Naive_RMSE
1155.KL,Maybank,5,xgb,0.007342088477487,0.010155464176366466,-0.022328748699269596,0.007341260947225283,0.47540983606557374,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,5,rf,0.007202276533514545,0.010123915166726186,-0.015986673217657454,0.007196823521358261,0.47540983606557374,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,5,lgbm,0.008053231784288743,0.011116301018024409,-0.2249309660324692,0.008041242531831479,0.47540983606557374,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,10,xgb,0.007439293781923288,0.01032941544982138,-0.05765129844115924,0.007436426734727359,0.4426229508196721,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,10,rf,0.007459305828909981,0.010526368312336332,-0.09836867882215383,0.007449982916944862,0.45901639344262296,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,10,lgbm,0.008649507542803797,0.011930649215337407,-0.4109745169168877,0.008631530066564148,0.48360655737704916,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,20,xgb,0.007533139475153566,0.010504545186586488,-0.09381915326616896,0.007530226279784181,0.4344262295081967,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,20,rf,0.007663140309117791,0.01104935459741497,-0.21022143049655528,0.007648122131041613,0.4672131147540984,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,20,lgbm,0.008666587821532477,0.011459227638648649,-0.30167244159950757,0.008644017928489166,0.38524590163934425,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,60,xgb,0.007124349524522666,0.009913333643371247,0.025839619328479668,0.007119346172766198,0.4918032786885246,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,60,rf,0.007259219690601842,0.01010284250793042,-0.011761576807738594,0.007237116809114999,0.4672131147540984,0.07850832235617713,0.11228439617333488
1155.KL,Maybank,60,lgbm,0.007822469398846404,0.010659483372978135,-0.1263239776238776,0.007803160105261234,0.4672131147540984,0.07850832235617713,0.11228439617333488
1295.KL,Public Bank,5,xgb,0.008487580476759132,0.01122493212837027,-0.031230844276225467,0.008481924448388994,0.47540983606557374,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,5,rf,0.008541639789518257,0.011372404570771166,-0.05850533038068306,0.008533866240038887,0.4262295081967213,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,5,lgbm,0.009429829132857913,0.012171242635859473,-0.21243450454576718,0.009423276680508201,0.4918032786885246,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,10,xgb,0.008346958475586058,0.011167436415416931,-0.020693675315718085,0.008337929716921657,0.45901639344262296,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,10,rf,0.008843686479007198,0.011680614045331121,-0.11665700596012862,0.008828412532807927,0.39344262295081966,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,10,lgbm,0.009741777959311445,0.012581202185033497,-0.2954860187243913,0.00973575586981917,0.5245901639344263,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,20,xgb,0.008491606364311604,0.011294102455260042,-0.043979313589324054,0.008487088706692457,0.4672131147540984,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,20,rf,0.008736558267701566,0.01153993098589555,-0.08992062255113242,0.008722503122988398,0.4180327868852459,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,20,lgbm,0.009527815957537699,0.01278964370261773,-0.33876804861349696,0.009527890517597712,0.4262295081967213,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,60,xgb,0.008668635404822456,0.0114094671646769,-0.06541589703797435,0.00866551570419137,0.4262295081967213,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,60,rf,0.008465623832551046,0.011298461905727824,-0.0447854076525358,0.008461119674878122,0.4426229508196721,0.038146726420668305,0.051108199292507935
1295.KL,Public Bank,60,lgbm,0.009571534396589193,0.012330200976646024,-0.24431047689222507,0.00955309114904865,0.47540983606557374,0.038146726420668305,0.051108199292507935
1023.KL,CIMB Group,5,xgb,0.01007750209959049,0.013872691275383969,-0.012264059608544153,0.010092208203265212,0.5081967213114754,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,5,rf,0.009837559162303083,0.013507202146621024,0.040371420832061244,0.009841672758595392,0.4918032786885246,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,5,lgbm,0.010217126397323043,0.013604617328522126,0.026479647631737824,0.01020861426177496,0.5245901639344263,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,10,xgb,0.010147881661739043,0.013847849192733805,-0.008641945980701227,0.01015445732999895,0.4262295081967213,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,10,rf,0.01007333840119572,0.013707035911642964,0.011766719022035299,0.010065921218524558,0.5327868852459017,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,10,lgbm,0.010999673869627417,0.014809699833002392,-0.15362560528597635,0.010977037097643156,0.48360655737704916,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,20,xgb,0.010231668859769947,0.013775480783305719,0.0018727672650621363,0.010230429766290832,0.4426229508196721,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,20,rf,0.01015766800788007,0.013876681999632552,-0.012846534586056002,0.01016464386559934,0.5163934426229508,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,20,lgbm,0.010426664665827355,0.014120764361050555,-0.048790599674647384,0.010441374973263072,0.5,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,60,xgb,0.010169750801058239,0.013955877049356984,-0.024440274390954864,0.010178572863280177,0.4426229508196721,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,60,rf,0.010368464795979422,0.013938432476618693,-0.02188081450637136,0.010408152554177971,0.4918032786885246,0.07770358148168345,0.10833225493001579
1023.KL,CIMB Group,60,lgbm,0.011264778893407245,0.015083844695445249,-0.19673082856814084,0.011320980234028343,0.5327868852459017,0.07770358148168345,0.10833225493001579
5347.KL,Tenaga Nasional,5,xgb,0.0071406517216067505,0.00981933335907614,-0.00010610746453565412,0.007145061142633338,0.45901639344262296,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,5,rf,0.007219005751281339,0.01014226212927135,-0.06696883059195358,0.007230109223057028,0.4918032786885246,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,5,lgbm,0.008620118765884454,0.011231361273740333,-0.3084190702473075,0.00862613627499096,0.5,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,10,xgb,0.007315007349885981,0.01020899818803983,-0.08105633079648888,0.007323276691372884,0.4426229508196721,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,10,rf,0.007252574335961217,0.010145726255934835,-0.06769780926335045,0.007262077217834769,0.47540983606557374,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,10,lgbm,0.009190489743802875,0.012230492719990715,-0.5515650127723599,0.009184786121324012,0.4344262295081967,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,20,xgb,0.007223278806728262,0.009956411265941142,-0.028223974984011635,0.0072290339571469235,0.5081967213114754,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,20,rf,0.007250546620343056,0.010164534533041386,-0.0716601022483121,0.007256851910367055,0.5163934426229508,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,20,lgbm,0.00938382926080691,0.012250058171241524,-0.5565331447731938,0.00936201411205421,0.4672131147540984,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,60,xgb,0.008311528785909779,0.011007800679323297,-0.2568492349768401,0.008306614652048913,0.48360655737704916,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,60,rf,0.007270925135675273,0.010140702363818992,-0.0666406802976156,0.007276814033237576,0.4672131147540984,0.09670506930742112,0.1311460209041777
5347.KL,Tenaga Nasional,60,lgbm,0.009368081952870458,0.012030839258035077,-0.5013222449035388,0.009360816640077516,0.45901639344262296,0.09670506930742112,0.1311460209041777
5225.KL,IHH Healthcare,5,xgb,0.00978947190523335,0.013448447736412662,-0.07644345796222263,0.00979718063217508,0.4918032786885246,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,5,rf,0.010610746896799543,0.014582107642868233,-0.26557388089238176,0.010640267048049566,0.5081967213114754,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,5,lgbm,0.01305455712962879,0.016338180804747835,-0.5887453748460416,0.013135940745852432,0.5081967213114754,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,10,xgb,0.009995409709345126,0.013887256924274283,-0.14783600717080425,0.00999261939619221,0.4098360655737705,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,10,rf,0.009996124250805268,0.013680980916268296,-0.11399021926810149,0.01000399470484212,0.5573770491803278,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,10,lgbm,0.011009829760267972,0.014531385391303943,-0.25678487526706406,0.011054401091036286,0.5163934426229508,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,20,xgb,0.009441172360823155,0.012976598007947994,-0.002232786548018506,0.009437253691756655,0.5327868852459017,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,20,rf,0.010676456297720816,0.015021072227054117,-0.34291576545758495,0.010703783942482517,0.5163934426229508,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,20,lgbm,0.014116722748757112,0.017273828574411326,-0.7759229282597613,0.014217354691998174,0.5081967213114754,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,60,xgb,0.00921180262662544,0.012875069866544851,0.01338868374668234,0.009210872991534468,0.5081967213114754,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,60,rf,0.010963839756789388,0.015093081030915476,-0.35582210709172113,0.01099852082330587,0.48360655737704916,0.07965121503736151,0.1128632715552554
5225.KL,IHH Healthcare,60,lgbm,0.012067032010241138,0.01577142441476377,-0.48043294594150443,0.012136109524656656,0.5081967213114754,0.07965121503736151,0.1128632715552554
8869.KL,Press Metal,5,xgb,0.011330612915222488,0.01579557658870191,0.0014922840033649853,0.011320809758572968,0.4918032786885246,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,5,rf,0.014939401752616328,0.0197865250872372,-0.566821484379407,0.014806986891927191,0.4016393442622951,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,5,lgbm,0.013863541710867561,0.01842685738144973,-0.35888594583923705,0.013838161288173972,0.4262295081967213,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,10,xgb,0.013226211933392169,0.01757414320454065,-0.23602934002780307,0.01319443955447538,0.32786885245901637,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,10,rf,0.014722343086264727,0.019447832821599308,-0.513641000240648,0.014601085440330829,0.4016393442622951,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,10,lgbm,0.014075339041207953,0.018411522563092336,-0.35662515899752356,0.014035779437184705,0.5409836065573771,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,20,xgb,0.012174267814005954,0.01667627215579324,-0.11295705364727682,0.012148756547388,0.45081967213114754,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,20,rf,0.01400117611754479,0.01879354332717569,-0.41350645786530227,0.013894131361218543,0.4180327868852459,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,20,lgbm,0.014820618762603145,0.018968874027759354,-0.44000354988001034,0.014753066974682358,0.4180327868852459,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,60,xgb,0.014091762385970182,0.01857990261112106,-0.3815522816580208,0.014018569421108625,0.4180327868852459,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,60,rf,0.014055952220884503,0.01879868907993492,-0.4142806120941622,0.013949293167541527,0.3770491803278688,0.08166564097169973,0.11773263856397516
8869.KL,Press Metal,60,lgbm,0.014449409498618575,0.019831018855728327,-0.5738759999603014,0.014374544635240403,0.4672131147540984,0.08166564097169973,0.11773263856397516
5819.KL,Hong Leong Bank,5,xgb,0.009129688845040482,0.013884163319700021,-0.037755892415395564,0.009116985015007927,0.5491803278688525,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,5,rf,0.009647177906281317,0.014116169307087579,-0.07272770675572504,0.00964404594032241,0.5327868852459017,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,5,lgbm,0.009643312301430042,0.014066860559871953,-0.06524657281777757,0.009641311727529992,0.5327868852459017,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,10,xgb,0.009322815786031523,0.013948830035945683,-0.047445283934953286,0.009313086790637273,0.5245901639344263,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,10,rf,0.00967817359597341,0.014052505975313831,-0.06307361176926807,0.00967573846722722,0.45901639344262296,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,10,lgbm,0.009773947470878667,0.013899683753288023,-0.04007730326772285,0.009773024234802627,0.4918032786885246,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,20,xgb,0.009527928807555203,0.014069698408881703,-0.06567642194437062,0.0095225990001356,0.45901639344262296,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,20,rf,0.009729309832860815,0.014113359120861329,-0.07230064123997604,0.009728493889059477,0.5163934426229508,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,20,lgbm,0.009747521157771007,0.013857014303139622,-0.03370141602129251,0.00974873422615791,0.5163934426229508,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,60,xgb,0.009223446907422973,0.013845446433836008,-0.0319762634812264,0.009206987513862055,0.5737704918032787,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,60,rf,0.009913412532167125,0.014269233890726193,-0.09611745582846365,0.00989590786030033,0.5163934426229508,0.20329314372578622,0.3101021418758719
5819.KL,Hong Leong Bank,60,lgbm,0.009612511181824225,0.013855826697125213,-0.033524238256253724,0.00960085181213853,0.48360655737704916,0.20329314372578622,0.3101021418758719
5285.KL,SD Guthrie,5,xgb,0.009156609078769952,0.011763429963539986,-0.014637907208137957,0.009130892959638788,0.47540983606557374,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,5,rf,0.009754641867317556,0.013023009488359601,-0.24355745480226654,0.009686891656208101,0.45901639344262296,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,5,lgbm,0.013034555171813754,0.016423109028109777,-0.9776703089493775,0.01292874485398854,0.4262295081967213,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,10,xgb,0.009811951108110069,0.012349000802175715,-0.11816727829630813,0.009790571571185376,0.4098360655737705,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,10,rf,0.009734962258269461,0.012950255461621889,-0.22970181060541384,0.009670061952915586,0.45901639344262296,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,10,lgbm,0.011817929325776712,0.014759372511641831,-0.5972721870285043,0.011785701436137762,0.4344262295081967,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,20,xgb,0.009256080090197823,0.011958637009311143,-0.048591923916099455,0.009230724997655948,0.5245901639344263,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,20,rf,0.009638050687190437,0.012871851488488715,-0.21485706060353205,0.009579505313455128,0.45901639344262296,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,20,lgbm,0.013651177194937905,0.01749131484542275,-1.2433036128249988,0.013534508436457546,0.3770491803278688,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,60,xgb,0.009370356130745591,0.01204066328390439,-0.06302619006404009,0.00933959367548761,0.4098360655737705,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,60,rf,0.009319507758200991,0.012310499749847808,-0.11120582333659024,0.009268555069381259,0.47540983606557374,0.05133326327214479,0.06699210826486197
5285.KL,SD Guthrie,60,lgbm,0.011792857355903387,0.015222932335581444,-0.6991815169923241,0.01171839337883848,0.45081967213114754,0.05133326327214479,0.06699210826486197
6947.KL,CelcomDigi,5,xgb,0.009915576632264958,0.012527237208864563,0.003597871848965095,0.009924337401337321,0.45081967213114754,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,5,rf,0.010002650587020644,0.012940576199477891,-0.06323991765205328,0.010025816034947831,0.4344262295081967,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,5,lgbm,0.011740808846592328,0.014745282252175569,-0.3804803356101236,0.011763135793393694,0.45081967213114754,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,10,xgb,0.009671555089616188,0.012674570805719924,-0.019977444796440702,0.009678812324862526,0.5081967213114754,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,10,rf,0.010871612762537898,0.014198416018514303,-0.27998192923808896,0.010917937901270835,0.5,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,10,lgbm,0.013380207431408836,0.0166611626336722,-0.7625224262546195,0.013460897373808688,0.45081967213114754,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,20,xgb,0.010673980527387697,0.013259299690406673,-0.11625962813345803,0.010687826081518614,0.45901639344262296,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,20,rf,0.009830898302805582,0.012776875791339713,-0.03650974620729608,0.009848108374947488,0.4918032786885246,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,20,lgbm,0.01179733614515432,0.014837772727118526,-0.3978529057808371,0.01181314388890615,0.4918032786885246,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,60,xgb,0.010333521862021898,0.013473936063687391,-0.15269128258716425,0.01034702278117328,0.4426229508196721,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,60,rf,0.00988719185482221,0.012802974865903602,-0.0407485875069431,0.009904370449742064,0.4672131147540984,0.031547245432118905,0.04115134545052011
6947.KL,CelcomDigi,60,lgbm,0.011867171236272346,0.01500664562881511,-0.4298526958641504,0.011899788519995501,0.48360655737704916,0.031547245432118905,0.04115134545052011
5211.KL,Sunway,5,xgb,0.012488875388020938,0.019250223161250347,-0.13557565331912813,0.012516282264219365,0.4262295081967213,0.06365468462959668,0.09609362508032544
5211.KL,Sunway,5,rf,0.014145464163344309,0.020402922234639867,-0.2756433935933946,0.01408460657953808,0.4344262295081967,0.06365468462959668,0.09609362508032544
5211.KL,Sunway,5,lgbm,0.016112970849225906,0.022316133189030515,-0.5260980069743382,0.015963178172236553,0.4344262295081967,0.06365468462959668,0.09609362508032544
5211.KL,Sunway,10,xgb,0.012121029539891191,0.01829001504030284,-0.025115171210941423,0.012154836055133882,0.5081967213114754,0.06365468462959668,0.09609362508032544
