ticker,trading_day,sentiment_score_title,prob_pos_title,prob_neu_title,prob_neg_title,dir_positive_title,dir_neutral_title,dir_negative_title,confidence_title,strength_title,article_count
5347.KL,1/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/1/2021,-0.286524,0.233246,0.246985,0.51977,0.0,0.5,0.5,0.286524,0.55443,2
5347.KL,1/1/2022,-0.008131,0.021246,0.949377,0.029377,0.0,1.0,0.0,0.008131,0.949377,1
5347.KL,1/1/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/1/2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/1/2025,-0.761893,0.102579,0.032948,0.864472,0.0,0.0,1.0,0.761893,0.864472,1
5347.KL,1/1/2026,-0.648216,0.160622,0.030539,0.808839,0.0,0.0,1.0,0.648216,0.808839,1
5347.KL,1/10/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/10/2021,0.009123,0.046962,0.915199,0.037839,0.0,1.0,0.0,0.026906,0.915199,2
5347.KL,1/10/2022,-0.870365,0.014521,0.100594,0.884885,0.0,0.0,1.0,0.870365,0.884885,1
5347.KL,1/10/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/10/2024,-0.01607,0.474114,0.035702,0.490184,0.5,0.0,0.5,0.936889,0.950593,2
5347.KL,1/10/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/11/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/11/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/11/2024,-0.504535,0.040003,0.415458,0.544538,0.0,0.333333,0.666667,0.521145,0.855726,3
5347.KL,1/11/2025,0.923891,0.939054,0.045782,0.015163,1.0,0.0,0.0,0.923891,0.939054,1
5347.KL,1/12/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/12/2021,0.038697,0.052715,0.933267,0.014018,0.0,1.0,0.0,0.038697,0.933267,2
5347.KL,1/12/2022,-0.078894,0.103415,0.714275,0.18231,0.0,1.0,0.0,0.078894,0.714275,1
5347.KL,1/12/2023,0.442511,0.493164,0.456182,0.050653,0.5,0.5,0.0,0.442511,0.885428,2
5347.KL,1/12/2024,-0.960501,0.008736,0.022027,0.969237,0.0,0.0,1.0,0.960501,0.969237,1
5347.KL,1/12/2025,0.795111,0.869049,0.057012,0.073939,1.0,0.0,0.0,0.795111,0.869049,1
5347.KL,1/2/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/2/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5347.KL,1/2/2022,-0.879124,0.030082,0.060711,0.909207,0.0,0.0,1.0,0.879124,0.909207,1
5347.KL,1/2/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
