ticker,trading_day,sentiment_score_title,prob_pos_title,prob_neu_title,prob_neg_title,dir_positive_title,dir_neutral_title,dir_negative_title,confidence_title,strength_title,article_count
1295.KL,1/1/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1295.KL,1/1/2021,-0.115191,0.16152,0.561768,0.276712,0.6,0.0,0.4,0.32276,0.745497,5
1295.KL,1/1/2022,0.107673,0.38577,0.336132,0.278097,0.4,0.2,0.4,0.594208,0.831402,5
1295.KL,1/1/2023,-0.004245,0.043808,0.908139,0.048053,0.0,1.0,0.0,0.004245,0.908139,1
1295.KL,1/1/2024,0.91401,0.928097,0.057816,0.014087,1.0,0.0,0.0,0.91401,0.928097,1
1295.KL,1/1/2025,-0.121906,0.195861,0.486372,0.317767,0.333333,0.166667,0.5,0.456069,0.816342,6
1295.KL,1/1/2026,-0.38023,0.084531,0.450709,0.464761,0.25,0.25,0.5,0.447291,0.88148,4
1295.KL,1/10/2020,-0.386122,0.258065,0.097748,0.644187,0.5,0.0,0.5,0.555868,0.72906,2
1295.KL,1/10/2021,-0.163283,0.078067,0.680583,0.24135,0.285714,0.428571,0.285714,0.265696,0.839323,7
1295.KL,1/10/2022,-0.21725,0.257647,0.267455,0.474898,0.5,0.0,0.5,0.711639,0.912904,4
1295.KL,1/10/2023,0.181499,0.238817,0.703864,0.057318,0.75,0.25,0.0,0.188535,0.703864,4
1295.KL,1/10/2024,-0.063851,0.231113,0.473923,0.294964,0.333333,0.333333,0.333333,0.483095,0.828376,9
1295.KL,1/10/2025,0.050538,0.287857,0.474824,0.237319,0.5,0.25,0.25,0.467782,0.869434,4
1295.KL,1/11/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1295.KL,1/11/2021,-0.36898,0.202677,0.225665,0.571657,0.2,0.2,0.6,0.684267,0.884672,5
1295.KL,1/11/2022,0.195252,0.292954,0.609343,0.097702,0.5,0.5,0.0,0.195252,0.719172,2
1295.KL,1/11/2023,0.173948,0.209878,0.754191,0.035931,0.4,0.6,0.0,0.179427,0.875018,5
1295.KL,1/11/2024,-0.403421,0.076298,0.443983,0.479719,0.25,0.0,0.75,0.477371,0.695592,4
1295.KL,1/11/2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1295.KL,1/12/2020,0.143621,0.384383,0.374856,0.240761,0.625,0.125,0.25,0.443444,0.73495,8
1295.KL,1/12/2021,-0.105958,0.239987,0.414067,0.345946,0.333333,0.333333,0.333333,0.492478,0.84564,6
1295.KL,1/12/2022,-0.001183,0.047984,0.902849,0.049167,0.0,0.75,0.25,0.054883,0.902849,4
1295.KL,1/12/2023,0.096741,0.434875,0.22699,0.338135,0.555556,0.111111,0.333333,0.698577,0.895362,9
1295.KL,1/12/2024,-0.94588,0.012383,0.029354,0.958263,0.0,0.0,1.0,0.94588,0.958263,2
1295.KL,1/12/2025,0.046872,0.060206,0.92646,0.013334,0.0,1.0,0.0,0.046872,0.92646,1
1295.KL,1/2/2020,-0.236624,0.254557,0.254262,0.491181,0.5,0.0,0.5,0.681314,0.724484,2
1295.KL,1/2/2021,0.867875,0.89018,0.087514,0.022305,1.0,0.0,0.0,0.867875,0.89018,1
1295.KL,1/2/2022,-0.364203,0.02775,0.580297,0.391953,0.0,0.0,1.0,0.364203,0.580297,1
1295.KL,1/2/2023,-0.265276,0.054929,0.624866,0.320205,0.0,0.666667,0.333333,0.318385,0.912414,3
1295.KL,1/2/2024,-0.446659,0.044479,0.464383,0.491138,0.0,0.4,0.6,0.462214,0.809266,5
1295.KL,1/2/2025,0.406543,0.443618,0.519306,0.037076,0.8,0.0,0.2,0.447161,0.886067,5
1295.KL,1/2/2026,0.435296,0.447634,0.540028,0.012338,1.0,0.0,0.0,0.435296,0.540028,1
1295.KL,1/3/2020,0.286993,0.573467,0.140059,0.286474,1.0,0.0,0.0,0.286993,0.573467,1
1295.KL,1/3/2021,0.067896,0.296512,0.474872,0.228616,0.5,0.25,0.25,0.480978,0.849742,4
1295.KL,1/3/2022,-0.393658,0.192188,0.221966,0.585846,0.2,0.0,0.8,0.697602,0.812608,5
1295.KL,1/3/2023,0.403318,0.417487,0.568344,0.014169,0.5,0.5,0.0,0.403318,0.816822,2
1295.KL,1/3/2024,-0.278806,0.164494,0.392207,0.443299,0.25,0.25,0.5,0.565826,0.792825,4
1295.KL,1/3/2025,-0.517091,0.023188,0.436533,0.540279,0.0,0.333333,0.666667,0.517091,0.838775,3
1295.KL,1/3/2026,-0.212837,0.04444,0.698284,0.257276,0.0,0.5,0.5,0.212837,0.698284,2
1295.KL,1/4/2020,-0.457734,0.071408,0.399449,0.529142,0.111111,0.222222,0.666667,0.534145,0.791279,9
1295.KL,1/4/2021,-0.005583,0.3306,0.333218,0.336182,0.5,0.25,0.25,0.487555,0.790961,4
1295.KL,1/4/2022,0.849293,0.865335,0.118623,0.016042,1.0,0.0,0.0,0.849293,0.865335,1
1295.KL,1/4/2023,-0.010151,0.378517,0.232815,0.388668,0.6,0.0,0.4,0.741861,0.885418,5
1295.KL,1/4/2024,-0.951979,0.014281,0.019459,0.96626,0.0,0.0,1.0,0.951979,0.96626,1
1295.KL,1/4/2025,0.806069,0.826747,0.152574,0.020678,1.0,0.0,0.0,0.806069,0.826747,1
1295.KL,1/5/2020,0.047547,0.062248,0.92305,0.014702,0.0,1.0,0.0,0.047547,0.92305,1
1295.KL,1/5/2021,-0.321605,0.066393,0.545609,0.387998,0.2,0.4,0.4,0.368682,0.899905,5
1295.KL,1/5/2022,0.162682,0.407755,0.347172,0.245073,0.5,0.25,0.25,0.613729,0.85585,4
1295.KL,1/5/2023,-0.374423,0.056044,0.513488,0.430468,0.25,0.0,0.75,0.432564,0.701919,4
1295.KL,1/5/2024,-0.016851,0.156116,0.670916,0.172967,0.5,0.333333,0.166667,0.283363,0.836785,6
1295.KL,1/5/2025,0.065144,0.09564,0.873865,0.030495,0.5,0.5,0.0,0.065144,0.873865,4
1295.KL,1/6/2020,0.525656,0.537938,0.44978,0.012282,1.0,0.0,0.0,0.525656,0.537938,1
1295.KL,1/6/2021,-0.130237,0.20013,0.469503,0.330367,0.444444,0.111111,0.444444,0.415554,0.751884,9
1295.KL,1/6/2022,0.300868,0.341176,0.618516,0.040308,0.4,0.6,0.0,0.300868,0.84084,5
1295.KL,1/6/2023,-0.041711,0.237869,0.48255,0.279581,0.363636,0.272727,0.363636,0.422552,0.808955,11
1295.KL,1/6/2024,0.032505,0.056278,0.919948,0.023773,0.0,1.0,0.0,0.032505,0.919948,1
1295.KL,1/6/2025,-0.26457,0.231531,0.272369,0.4961,0.5,0.0,0.5,0.630911,0.710884,4
1295.KL,1/7/2020,0.295261,0.313289,0.668682,0.018029,0.5,0.5,0.0,0.295261,0.690397,2
1295.KL,1/7/2021,-0.101745,0.227934,0.442388,0.329679,0.25,0.25,0.5,0.503141,0.826572,8
1295.KL,1/7/2022,-0.023104,0.175906,0.625085,0.199009,0.333333,0.5,0.166667,0.268075,0.852556,6
1295.KL,1/7/2023,-0.295215,0.222036,0.260713,0.517251,0.333333,0.0,0.666667,0.583848,0.661567,3
1295.KL,1/7/2024,-0.026093,0.451277,0.071354,0.477369,0.5,0.0,0.5,0.900278,0.914462,4
1295.KL,1/7/2025,-0.186708,0.178319,0.456655,0.365026,0.285714,0.285714,0.428571,0.466451,0.849999,7
1295.KL,1/8/2020,-0.929976,0.025282,0.019459,0.955259,0.0,0.0,1.0,0.929976,0.955259,1
1295.KL,1/8/2021,0.049055,0.0835,0.882055,0.034445,0.0,1.0,0.0,0.049055,0.882055,4
1295.KL,1/8/2022,0.051758,0.218975,0.613808,0.167217,0.4,0.4,0.2,0.341366,0.77905,5
1295.KL,1/8/2023,-0.129179,0.322765,0.225291,0.451944,0.4,0.2,0.4,0.614059,0.863464,5
1295.KL,1/8/2024,-0.092557,0.078853,0.749737,0.17141,0.285714,0.571429,0.142857,0.200621,0.881998,7
1295.KL,1/8/2025,0.065408,0.07841,0.908588,0.013002,0.0,1.0,0.0,0.065408,0.908588,1
1295.KL,1/9/2020,-0.505449,0.033567,0.427418,0.539016,0.0,0.333333,0.666667,0.537931,0.843494,3
